category,plant_name,introduction,how_to_use,advantages,disadvantages,side_effects,image1,image2,image3,image4,image5
General health,Gokshura,"Kidney and vitality.","Powder","Kidney stones, Energy","Dehydration","Insomnia",https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura
Immunity,Tulsi,"The Queen of Herbs, widely used for medicinal purposes.","Chew leaves, Tea","Boosts Immunity, Anti-bacterial","Blood thinning","Avoid before surgery",https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi
Immunity,Giloy,"Known as 'Amrita', root of immortality.","Juice, Powder","Chronic Fever, Dengue recovery","Constipation risk","Lowers blood sugar",https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy
Immunity,Ashwagandha,"Powerful adaptogen for stress and energy.","Powder with milk","Reduces Stress, Strength","Heat inducing","Drowsiness",https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha
Immunity,Mulethi,"Liquorice root, sweet and soothing.","Chew stick, Powder","Sore throat, Acidity","Water retention","High BP risk",https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi
Immunity,Turmeric,"Golden spice with curcumin.","Milk, Cooking","Anti-inflammatory, Antiseptic","Stains teeth","Stomach upset in excess",https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric
Skin Care,Neem,"Ultimate antibacterial herb.","Paste, Oil","Acne cure, Blood purifier","Very bitter","Not for infants",https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem
Skin Care,Aloe Vera,"Succulent plant with healing gel.","Apply gel, Juice","Hydration, Sunburn relief","Sticky feel","Diarrhea if eaten raw",https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera
Skin Care,Sandalwood,"Cooling and aromatic wood.","Paste","Glowing skin, Cooling","Expensive","Rare allergies",https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood
Skin Care,Manjistha,"Blood purifying creeper.","Powder, Decoction","Skin whitening, Detox","Changes urine color","Safe in moderation",https://placehold.co/600x400/22c55e/ffffff?text=Manjistha,https://placehold.co/600x400/22c55e/ffffff?text=Manjistha,https://placehold.co/600x400/22c55e/ffffff?text=Manjistha,https://placehold.co/600x400/22c55e/ffffff?text=Manjistha,https://placehold.co/600x400/22c55e/ffffff?text=Manjistha
Skin Care,Rose,"Used for toner and cooling.","Rose water","Toner, Soothing","None","None",https://placehold.co/600x400/166534/ffffff?text=Rose,https://placehold.co/600x400/166534/ffffff?text=Rose,https://placehold.co/600x400/166534/ffffff?text=Rose,https://placehold.co/600x400/166534/ffffff?text=Rose,https://placehold.co/600x400/166534/ffffff?text=Rose
Digestion,Triphala,"Mix of Amla, Haritaki, Bibhitaki.","Powder with water","Best laxative, Detox","Loose motions","Dehydration",https://placehold.co/600x400/22c55e/ffffff?text=Triphala,https://placehold.co/600x400/22c55e/ffffff?text=Triphala,https://placehold.co/600x400/22c55e/ffffff?text=Triphala,https://placehold.co/600x400/22c55e/ffffff?text=Triphala,https://placehold.co/600x400/22c55e/ffffff?text=Triphala
Digestion,Isabgol,"Psyllium husk fiber.","With warm water","Constipation relief","Bloating","Choking if dry",https://placehold.co/600x400/166534/ffffff?text=Isabgol,https://placehold.co/600x400/166534/ffffff?text=Isabgol,https://placehold.co/600x400/166534/ffffff?text=Isabgol,https://placehold.co/600x400/166534/ffffff?text=Isabgol,https://placehold.co/600x400/166534/ffffff?text=Isabgol
Digestion,Ajwain,"Carom seeds for gas relief.","Chew, Water","Instant gas relief","Heat body","Acidity",https://placehold.co/600x400/22c55e/ffffff?text=Ajwain,https://placehold.co/600x400/22c55e/ffffff?text=Ajwain,https://placehold.co/600x400/22c55e/ffffff?text=Ajwain,https://placehold.co/600x400/22c55e/ffffff?text=Ajwain,https://placehold.co/600x400/22c55e/ffffff?text=Ajwain
Digestion,Jeera,"Cumin seeds.","Water, Food","Metabolism, Digestion","None","None",https://placehold.co/600x400/166534/ffffff?text=Jeera,https://placehold.co/600x400/166534/ffffff?text=Jeera,https://placehold.co/600x400/166534/ffffff?text=Jeera,https://placehold.co/600x400/166534/ffffff?text=Jeera,https://placehold.co/600x400/166534/ffffff?text=Jeera
Digestion,Ginger,"Root for gut health.","Tea, Chew","Nausea, Digestion","Heartburn","Mouth irritation",https://placehold.co/600x400/22c55e/ffffff?text=Ginger,https://placehold.co/600x400/22c55e/ffffff?text=Ginger,https://placehold.co/600x400/22c55e/ffffff?text=Ginger,https://placehold.co/600x400/22c55e/ffffff?text=Ginger,https://placehold.co/600x400/22c55e/ffffff?text=Ginger
Respiratory,Vasaka,"Potent herb for asthma.","Juice, Decoction","Clears lungs, Asthma","Vomiting in high dose","Nausea",https://placehold.co/600x400/166534/ffffff?text=Vasaka,https://placehold.co/600x400/166534/ffffff?text=Vasaka,https://placehold.co/600x400/166534/ffffff?text=Vasaka,https://placehold.co/600x400/166534/ffffff?text=Vasaka,https://placehold.co/600x400/166534/ffffff?text=Vasaka
Respiratory,Tulsi,"Holy Basil.","Tea","Cough, Cold","Blood thinning","Acidic",https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi
Respiratory,Kantakari,"Prickly herb for cough.","Decoction","Expectorant, Throat pain","Toxic in excess","Dry mouth",https://placehold.co/600x400/166534/ffffff?text=Kantakari,https://placehold.co/600x400/166534/ffffff?text=Kantakari,https://placehold.co/600x400/166534/ffffff?text=Kantakari,https://placehold.co/600x400/166534/ffffff?text=Kantakari,https://placehold.co/600x400/166534/ffffff?text=Kantakari
Respiratory,Pippali,"Long pepper.","Powder with honey","Lungs, Metabolism","Spicy","Acidity",https://placehold.co/600x400/22c55e/ffffff?text=Pippali,https://placehold.co/600x400/22c55e/ffffff?text=Pippali,https://placehold.co/600x400/22c55e/ffffff?text=Pippali,https://placehold.co/600x400/22c55e/ffffff?text=Pippali,https://placehold.co/600x400/22c55e/ffffff?text=Pippali
Respiratory,Kalmegh,"King of bitters.","Juice","Fever, Infection","Very bitter","Vomiting",https://placehold.co/600x400/166534/ffffff?text=Kalmegh,https://placehold.co/600x400/166534/ffffff?text=Kalmegh,https://placehold.co/600x400/166534/ffffff?text=Kalmegh,https://placehold.co/600x400/166534/ffffff?text=Kalmegh,https://placehold.co/600x400/166534/ffffff?text=Kalmegh
Heart Health,Arjuna,"Bark tonic for heart.","Milk decoction","Strengthens heart, BP","Mild gastric issue","Rare nausea",https://placehold.co/600x400/22c55e/ffffff?text=Arjuna,https://placehold.co/600x400/22c55e/ffffff?text=Arjuna,https://placehold.co/600x400/22c55e/ffffff?text=Arjuna,https://placehold.co/600x400/22c55e/ffffff?text=Arjuna,https://placehold.co/600x400/22c55e/ffffff?text=Arjuna
Heart Health,Garlic,"Clove for cholesterol.","Raw, Cooked","Thins blood, Cholesterol","Bad breath","Heartburn",https://placehold.co/600x400/166534/ffffff?text=Garlic,https://placehold.co/600x400/166534/ffffff?text=Garlic,https://placehold.co/600x400/166534/ffffff?text=Garlic,https://placehold.co/600x400/166534/ffffff?text=Garlic,https://placehold.co/600x400/166534/ffffff?text=Garlic
Heart Health,Cinnamon,"Spice for circulation.","Powder","Blood flow, Sugar","Heat","Mouth sores",https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon,https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon,https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon,https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon,https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon
Heart Health,Flaxseed,"Omega-3 seeds.","Roasted","Good fats, Heart","Hard to digest","Bloating",https://placehold.co/600x400/166534/ffffff?text=Flaxseed,https://placehold.co/600x400/166534/ffffff?text=Flaxseed,https://placehold.co/600x400/166534/ffffff?text=Flaxseed,https://placehold.co/600x400/166534/ffffff?text=Flaxseed,https://placehold.co/600x400/166534/ffffff?text=Flaxseed
Heart Health,Hibiscus,"Flower tea.","Tea","Lowers BP","Cold potency","Dizziness",https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus,https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus,https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus,https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus,https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus
General health,Amla,"Vitamin C powerhouse.","Raw, Juice","Eyes, Hair, Skin","Sour throat","Acidity",https://placehold.co/600x400/166534/ffffff?text=Amla,https://placehold.co/600x400/166534/ffffff?text=Amla,https://placehold.co/600x400/166534/ffffff?text=Amla,https://placehold.co/600x400/166534/ffffff?text=Amla,https://placehold.co/600x400/166534/ffffff?text=Amla
General health,Brahmi,"Brain tonic.","Ghee, Powder","Memory, Focus","Slow heart rate","Stomach cramps",https://placehold.co/600x400/22c55e/ffffff?text=Brahmi,https://placehold.co/600x400/22c55e/ffffff?text=Brahmi,https://placehold.co/600x400/22c55e/ffffff?text=Brahmi,https://placehold.co/600x400/22c55e/ffffff?text=Brahmi,https://placehold.co/600x400/22c55e/ffffff?text=Brahmi
General health,Shankhpushpi,"Mental peace herb.","Syrup","Calmness, Sleep","Low BP","Drowsiness",https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi,https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi,https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi,https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi,https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi
General health,Moringa,"Drumstick leaves.","Powder, Cooked","Nutrition, Bones","Laxative","Nausea",https://placehold.co/600x400/22c55e/ffffff?text=Moringa,https://placehold.co/600x400/22c55e/ffffff?text=Moringa,https://placehold.co/600x400/22c55e/ffffff?text=Moringa,https://placehold.co/600x400/22c55e/ffffff?text=Moringa,https://placehold.co/600x400/22c55e/ffffff?text=Moringa
General health,Gokshura,"Kidney and vitality.","Powder","Kidney stones, Energy","Dehydration","Insomnia",https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura
Immunity,Tulsi,"The Queen of Herbs, widely used for medicinal purposes.","Chew leaves, Tea","Boosts Immunity, Anti-bacterial","Blood thinning","Avoid before surgery",https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi
Immunity,Giloy,"Known as 'Amrita', root of immortality.","Juice, Powder","Chronic Fever, Dengue recovery","Constipation risk","Lowers blood sugar",https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy
Immunity,Ashwagandha,"Powerful adaptogen for stress and energy.","Powder with milk","Reduces Stress, Strength","Heat inducing","Drowsiness",https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha
Immunity,Mulethi,"Liquorice root, sweet and soothing.","Chew stick, Powder","Sore throat, Acidity","Water retention","High BP risk",https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi
Immunity,Turmeric,"Golden spice with curcumin.","Milk, Cooking","Anti-inflammatory, Antiseptic","Stains teeth","Stomach upset in excess",https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric
Skin Care,Neem,"Ultimate antibacterial herb.","Paste, Oil","Acne cure, Blood purifier","Very bitter","Not for infants",https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem
Skin Care,Aloe Vera,"Succulent plant with healing gel.","Apply gel, Juice","Hydration, Sunburn relief","Sticky feel","Diarrhea if eaten raw",https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera
Skin Care,Sandalwood,"Cooling and aromatic wood.","Paste","Glowing skin, Cooling","Expensive","Rare allergies",https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood
Skin Care,Manjistha,"Blood purifying creeper.","Powder, Decoction","Skin whitening, Detox","Changes urine color","Safe in moderation",https://placehold.co/600x400/22c55e/ffffff?text=Manjistha,https://placehold.co/600x400/22c55e/ffffff?text=Manjistha,https://placehold.co/600x400/22c55e/ffffff?text=Manjistha,https://placehold.co/600x400/22c55e/ffffff?text=Manjistha,https://placehold.co/600x400/22c55e/ffffff?text=Manjistha
Skin Care,Rose,"Used for toner and cooling.","Rose water","Toner, Soothing","None","None",https://placehold.co/600x400/166534/ffffff?text=Rose,https://placehold.co/600x400/166534/ffffff?text=Rose,https://placehold.co/600x400/166534/ffffff?text=Rose,https://placehold.co/600x400/166534/ffffff?text=Rose,https://placehold.co/600x400/166534/ffffff?text=Rose
Digestion,Triphala,"Mix of Amla, Haritaki, Bibhitaki.","Powder with water","Best laxative, Detox","Loose motions","Dehydration",https://placehold.co/600x400/22c55e/ffffff?text=Triphala,https://placehold.co/600x400/22c55e/ffffff?text=Triphala,https://placehold.co/600x400/22c55e/ffffff?text=Triphala,https://placehold.co/600x400/22c55e/ffffff?text=Triphala,https://placehold.co/600x400/22c55e/ffffff?text=Triphala
Digestion,Isabgol,"Psyllium husk fiber.","With warm water","Constipation relief","Bloating","Choking if dry",https://placehold.co/600x400/166534/ffffff?text=Isabgol,https://placehold.co/600x400/166534/ffffff?text=Isabgol,https://placehold.co/600x400/166534/ffffff?text=Isabgol,https://placehold.co/600x400/166534/ffffff?text=Isabgol,https://placehold.co/600x400/166534/ffffff?text=Isabgol
Digestion,Ajwain,"Carom seeds for gas relief.","Chew, Water","Instant gas relief","Heat body","Acidity",https://placehold.co/600x400/22c55e/ffffff?text=Ajwain,https://placehold.co/600x400/22c55e/ffffff?text=Ajwain,https://placehold.co/600x400/22c55e/ffffff?text=Ajwain,https://placehold.co/600x400/22c55e/ffffff?text=Ajwain,https://placehold.co/600x400/22c55e/ffffff?text=Ajwain
Digestion,Jeera,"Cumin seeds.","Water, Food","Metabolism, Digestion","None","None",https://placehold.co/600x400/166534/ffffff?text=Jeera,https://placehold.co/600x400/166534/ffffff?text=Jeera,https://placehold.co/600x400/166534/ffffff?text=Jeera,https://placehold.co/600x400/166534/ffffff?text=Jeera,https://placehold.co/600x400/166534/ffffff?text=Jeera
Digestion,Ginger,"Root for gut health.","Tea, Chew","Nausea, Digestion","Heartburn","Mouth irritation",https://placehold.co/600x400/22c55e/ffffff?text=Ginger,https://placehold.co/600x400/22c55e/ffffff?text=Ginger,https://placehold.co/600x400/22c55e/ffffff?text=Ginger,https://placehold.co/600x400/22c55e/ffffff?text=Ginger,https://placehold.co/600x400/22c55e/ffffff?text=Ginger
Respiratory,Vasaka,"Potent herb for asthma.","Juice, Decoction","Clears lungs, Asthma","Vomiting in high dose","Nausea",https://placehold.co/600x400/166534/ffffff?text=Vasaka,https://placehold.co/600x400/166534/ffffff?text=Vasaka,https://placehold.co/600x400/166534/ffffff?text=Vasaka,https://placehold.co/600x400/166534/ffffff?text=Vasaka,https://placehold.co/600x400/166534/ffffff?text=Vasaka
Respiratory,Tulsi,"Holy Basil.","Tea","Cough, Cold","Blood thinning","Acidic",https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi
Respiratory,Kantakari,"Prickly herb for cough.","Decoction","Expectorant, Throat pain","Toxic in excess","Dry mouth",https://placehold.co/600x400/166534/ffffff?text=Kantakari,https://placehold.co/600x400/166534/ffffff?text=Kantakari,https://placehold.co/600x400/166534/ffffff?text=Kantakari,https://placehold.co/600x400/166534/ffffff?text=Kantakari,https://placehold.co/600x400/166534/ffffff?text=Kantakari
Respiratory,Pippali,"Long pepper.","Powder with honey","Lungs, Metabolism","Spicy","Acidity",https://placehold.co/600x400/22c55e/ffffff?text=Pippali,https://placehold.co/600x400/22c55e/ffffff?text=Pippali,https://placehold.co/600x400/22c55e/ffffff?text=Pippali,https://placehold.co/600x400/22c55e/ffffff?text=Pippali,https://placehold.co/600x400/22c55e/ffffff?text=Pippali
Respiratory,Kalmegh,"King of bitters.","Juice","Fever, Infection","Very bitter","Vomiting",https://placehold.co/600x400/166534/ffffff?text=Kalmegh,https://placehold.co/600x400/166534/ffffff?text=Kalmegh,https://placehold.co/600x400/166534/ffffff?text=Kalmegh,https://placehold.co/600x400/166534/ffffff?text=Kalmegh,https://placehold.co/600x400/166534/ffffff?text=Kalmegh
Heart Health,Arjuna,"Bark tonic for heart.","Milk decoction","Strengthens heart, BP","Mild gastric issue","Rare nausea",https://placehold.co/600x400/22c55e/ffffff?text=Arjuna,https://placehold.co/600x400/22c55e/ffffff?text=Arjuna,https://placehold.co/600x400/22c55e/ffffff?text=Arjuna,https://placehold.co/600x400/22c55e/ffffff?text=Arjuna,https://placehold.co/600x400/22c55e/ffffff?text=Arjuna
Heart Health,Garlic,"Clove for cholesterol.","Raw, Cooked","Thins blood, Cholesterol","Bad breath","Heartburn",https://placehold.co/600x400/166534/ffffff?text=Garlic,https://placehold.co/600x400/166534/ffffff?text=Garlic,https://placehold.co/600x400/166534/ffffff?text=Garlic,https://placehold.co/600x400/166534/ffffff?text=Garlic,https://placehold.co/600x400/166534/ffffff?text=Garlic
Heart Health,Cinnamon,"Spice for circulation.","Powder","Blood flow, Sugar","Heat","Mouth sores",https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon,https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon,https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon,https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon,https://placehold.co/600x400/22c55e/ffffff?text=Cinnamon
Heart Health,Flaxseed,"Omega-3 seeds.","Roasted","Good fats, Heart","Hard to digest","Bloating",https://placehold.co/600x400/166534/ffffff?text=Flaxseed,https://placehold.co/600x400/166534/ffffff?text=Flaxseed,https://placehold.co/600x400/166534/ffffff?text=Flaxseed,https://placehold.co/600x400/166534/ffffff?text=Flaxseed,https://placehold.co/600x400/166534/ffffff?text=Flaxseed
Heart Health,Hibiscus,"Flower tea.","Tea","Lowers BP","Cold potency","Dizziness",https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus,https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus,https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus,https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus,https://placehold.co/600x400/22c55e/ffffff?text=Hibiscus
General health,Amla,"Vitamin C powerhouse.","Raw, Juice","Eyes, Hair, Skin","Sour throat","Acidity",https://placehold.co/600x400/166534/ffffff?text=Amla,https://placehold.co/600x400/166534/ffffff?text=Amla,https://placehold.co/600x400/166534/ffffff?text=Amla,https://placehold.co/600x400/166534/ffffff?text=Amla,https://placehold.co/600x400/166534/ffffff?text=Amla
General health,Brahmi,"Brain tonic.","Ghee, Powder","Memory, Focus","Slow heart rate","Stomach cramps",https://placehold.co/600x400/22c55e/ffffff?text=Brahmi,https://placehold.co/600x400/22c55e/ffffff?text=Brahmi,https://placehold.co/600x400/22c55e/ffffff?text=Brahmi,https://placehold.co/600x400/22c55e/ffffff?text=Brahmi,https://placehold.co/600x400/22c55e/ffffff?text=Brahmi
General health,Shankhpushpi,"Mental peace herb.","Syrup","Calmness, Sleep","Low BP","Drowsiness",https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi,https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi,https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi,https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi,https://placehold.co/600x400/166534/ffffff?text=Shankhpushpi
General health,Moringa,"Drumstick leaves.","Powder, Cooked","Nutrition, Bones","Laxative","Nausea",https://placehold.co/600x400/22c55e/ffffff?text=Moringa,https://placehold.co/600x400/22c55e/ffffff?text=Moringa,https://placehold.co/600x400/22c55e/ffffff?text=Moringa,https://placehold.co/600x400/22c55e/ffffff?text=Moringa,https://placehold.co/600x400/22c55e/ffffff?text=Moringa
General health,Gokshura,"Kidney and vitality.","Powder","Kidney stones, Energy","Dehydration","Insomnia",https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura,https://placehold.co/600x400/166534/ffffff?text=Gokshura
Immunity,Tulsi,"The Queen of Herbs, widely used for medicinal purposes.","Chew leaves, Tea","Boosts Immunity, Anti-bacterial","Blood thinning","Avoid before surgery",https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi,https://placehold.co/600x400/22c55e/ffffff?text=Tulsi
Immunity,Giloy,"Known as 'Amrita', root of immortality.","Juice, Powder","Chronic Fever, Dengue recovery","Constipation risk","Lowers blood sugar",https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy,https://placehold.co/600x400/166534/ffffff?text=Giloy
Immunity,Ashwagandha,"Powerful adaptogen for stress and energy.","Powder with milk","Reduces Stress, Strength","Heat inducing","Drowsiness",https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha,https://placehold.co/600x400/22c55e/ffffff?text=Ashwagandha
Immunity,Mulethi,"Liquorice root, sweet and soothing.","Chew stick, Powder","Sore throat, Acidity","Water retention","High BP risk",https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi,https://placehold.co/600x400/166534/ffffff?text=Mulethi
Immunity,Turmeric,"Golden spice with curcumin.","Milk, Cooking","Anti-inflammatory, Antiseptic","Stains teeth","Stomach upset in excess",https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric,https://placehold.co/600x400/22c55e/ffffff?text=Turmeric
Skin Care,Neem,"Ultimate antibacterial herb.","Paste, Oil","Acne cure, Blood purifier","Very bitter","Not for infants",https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem,https://placehold.co/600x400/166534/ffffff?text=Neem
Skin Care,Aloe Vera,"Succulent plant with healing gel.","Apply gel, Juice","Hydration, Sunburn relief","Sticky feel","Diarrhea if eaten raw",https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera,https://placehold.co/600x400/22c55e/ffffff?text=Aloe+Vera
Skin Care,Sandalwood,"Cooling and aromatic wood.","Paste","Glowing skin, Cooling","Expensive","Rare allergies",https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood,https://placehold.co/600x400/166534/ffffff?text=Sandalwood
